area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2019-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,19.2
E06000055,Bedford,2020-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,19.8
E06000055,Bedford,2020-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,21
E06000055,Bedford,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,21.9
E06000055,Bedford,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,27.7
E06000055,Bedford,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,28.9
E06000055,Bedford,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,36.4
E06000055,Bedford,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,49.8
E06000055,Bedford,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,58.4
E08000002,Bury,2019-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,10.5
E08000002,Bury,2020-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,10.5
E08000002,Bury,2020-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,12.6
E08000002,Bury,2020-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,12.6
E08000002,Bury,2020-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-07,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,8.9
E08000002,Bury,2021-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,11.5
E06000050,Cheshire West and Chester,2019-10,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,11.7
E06000050,Cheshire West and Chester,2020-01,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,11.7
E06000050,Cheshire West and Chester,2020-04,Publicly available electric vehicle charging devices at all speeds,"Per 100,000 population",Devices,14.1
