area_code,area_name,period,value_certificates_lodged,value_rating_A,value_rating_B,value_rating_C,indicator,unit,measure
E06000005,Darlington,2009,4105,0,386,1114,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2010,3117,0,288,865,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2011,2836,0,230,651,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2012,2815,7,126,908,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2013,3960,9,137,836,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2014,5182,8,319,949,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2015,4581,40,533,991,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2016,2946,15,179,652,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2017,2520,3,363,817,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2018,2544,1,621,543,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2019,2796,1,489,822,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2020,2973,1,474,860,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000005,Darlington,2021,2399,2,384,673,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2009,11628,1,888,5204,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2010,5310,4,821,1649,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2011,4245,5,364,1380,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2012,4691,4,234,1725,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2013,7521,17,421,2283,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2014,7517,5,384,1635,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2015,6663,3,586,2093,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2016,4399,5,394,1252,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2017,3405,1,323,1214,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2018,3297,2,447,1109,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2019,4148,4,587,1601,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2020,4228,2,662,1601,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000007,Warrington,2021,3585,5,615,1504,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
E06000014,York,2009,8312,0,474,2512,Domestic Energy Performance Certificates (EPC) lodged on the Buildings Register,Certificates,Frequency
