area_code,area_name,period,indicator,measure,unit,value
E08000002,Bury,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,24.3
E08000007,Stockport,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,49.3
E08000009,Trafford,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,40.8
E06000055,Bedford,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,39.1
E06000050,Cheshire West and Chester,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,48.1
E06000005,Darlington,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,41.9
E06000015,Derby,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,47.5
E06000042,Milton Keynes,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,51.9
E06000031,Peterborough,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,44.5
E08000029,Solihull,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,44.4
E06000025,South Gloucestershire,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,45.1
E06000030,Swindon,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,50
E06000020,Telford and Wrekin,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,43.7
E06000034,Thurrock,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,44.5
E06000007,Warrington,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,43.3
E06000014,York,2010/11,"Reuse, recycling or composting of household waste",Percentage,Waste,45.1
E08000002,Bury,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,36.3
E08000007,Stockport,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,62.6
E08000009,Trafford,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,49.2
E06000055,Bedford,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,38.2
E06000050,Cheshire West and Chester,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,49.6
E06000005,Darlington,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,44.7
E06000015,Derby,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,46.4
E06000042,Milton Keynes,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,53.8
E06000031,Peterborough,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,45
E08000029,Solihull,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,46.1
E06000025,South Gloucestershire,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,53.1
E06000030,Swindon,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,48.2
E06000020,Telford and Wrekin,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,43.2
E06000034,Thurrock,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,42.4
E06000007,Warrington,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,43.3
E06000014,York,2011/12,"Reuse, recycling or composting of household waste",Percentage,Waste,46.4
E08000002,Bury,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,43
E08000007,Stockport,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,61
E08000009,Trafford,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,47.9
E06000055,Bedford,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,39.1
E06000050,Cheshire West and Chester,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,56.1
E06000005,Darlington,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,37.8
E06000015,Derby,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,45.4
E06000042,Milton Keynes,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,53.5
E06000031,Peterborough,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,48
E08000029,Solihull,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,43.9
E06000025,South Gloucestershire,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,51.4
E06000030,Swindon,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,44.3
E06000020,Telford and Wrekin,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,43.2
E06000034,Thurrock,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,43
E06000007,Warrington,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,42.9
E06000014,York,2012/13,"Reuse, recycling or composting of household waste",Percentage,Waste,46
E08000002,Bury,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,43
E08000007,Stockport,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,61.1
E08000009,Trafford,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,57.5
E06000055,Bedford,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,38.3
E06000050,Cheshire West and Chester,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,57.5
E06000005,Darlington,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,33.2
E06000015,Derby,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,42.7
E06000042,Milton Keynes,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,52.7
E06000031,Peterborough,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,50.8
E08000029,Solihull,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,39.5
E06000025,South Gloucestershire,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,49
E06000030,Swindon,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,41.8
E06000020,Telford and Wrekin,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,44.8
E06000034,Thurrock,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,40.9
E06000007,Warrington,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,49.5
E06000014,York,2013/14,"Reuse, recycling or composting of household waste",Percentage,Waste,43.6
E08000002,Bury,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,46.6
E08000007,Stockport,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,60.7
E08000009,Trafford,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,61.9
E06000055,Bedford,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,37.9
E06000050,Cheshire West and Chester,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,59.1
E06000005,Darlington,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,36.5
E06000015,Derby,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,32.9
E06000042,Milton Keynes,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,51.8
E06000031,Peterborough,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,46.6
E08000029,Solihull,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,39.8
E06000025,South Gloucestershire,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,47.5
E06000030,Swindon,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,35.8
E06000020,Telford and Wrekin,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,47.6
E06000034,Thurrock,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,40.4
E06000007,Warrington,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,50.5
E06000014,York,2014/15,"Reuse, recycling or composting of household waste",Percentage,Waste,42.5
E08000002,Bury,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,49.1
E08000007,Stockport,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,59.4
E08000009,Trafford,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,60.4
E06000055,Bedford,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,37.5
E06000050,Cheshire West and Chester,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,57.7
E06000005,Darlington,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,37
E06000015,Derby,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,32.3
E06000042,Milton Keynes,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,49
E06000031,Peterborough,2015/16,"Reuse, recycling or composting of household waste",Percentage,Waste,44
