station_code,station_name,period,indicator,measure,unit,value
TRF2,Trafford A56,2019-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,17.2
TRAF,Trafford Moss Park,2019-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.8
TRF2,Trafford A56,2019-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,16.8
TRAF,Trafford Moss Park,2019-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.5
TRF2,Trafford A56,2020-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.2
TRAF,Trafford Moss Park,2020-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.2
TRF2,Trafford A56,2020-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.3
TRAF,Trafford Moss Park,2020-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.8
TRF2,Trafford A56,2020-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14
TRAF,Trafford Moss Park,2020-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.9
TRF2,Trafford A56,2020-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.1
TRAF,Trafford Moss Park,2020-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.1
TRF2,Trafford A56,2021-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.5
TRAF,Trafford Moss Park,2021-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.6
TRF2,Trafford A56,2021-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.6
TRAF,Trafford Moss Park,2021-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,12.9
TRF2,Trafford A56,2021-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.4
TRAF,Trafford Moss Park,2021-09-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.4
TRF2,Trafford A56,2021-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.4
TRAF,Trafford Moss Park,2021-12-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,13.2
TRF2,Trafford A56,2022-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.1
TRAF,Trafford Moss Park,2022-03-31,Particulate Matter (PM10),Annual mean concentration,µg/m3,14.8
TRF2,Trafford A56,2022-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.3
TRAF,Trafford Moss Park,2022-06-30,Particulate Matter (PM10),Annual mean concentration,µg/m3,15.5
