area_code,area_name,area_type,period,indicator,measure,unit,value,compared_to_England,inequality
E92000001,England,Country,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.5,Not compared,NA
E92000001,England,Country,2014/15,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.3,Not compared,NA
E92000001,England,Country,2015/16,Depression: Recorded prevalence (aged 18+),Percentage,Persons,8.3,Not compared,NA
E92000001,England,Country,2016/17,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9.1,Not compared,NA
E92000001,England,Country,2017/18,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9.9,Not compared,NA
E92000001,England,Country,2019/20,Depression: Recorded prevalence (aged 18+),Percentage,Persons,11.6,Not compared,NA
E92000001,England,Country,2020/21,Depression: Recorded prevalence (aged 18+),Percentage,Persons,12.3,Not compared,NA
E06000001,Hartlepool,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.3,Not compared,NA
E06000002,Middlesbrough,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.7,Not compared,NA
E06000003,Redcar and Cleveland,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.9,Not compared,NA
E06000004,Stockton-on-Tees,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9.2,Not compared,NA
E06000005,Darlington,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.4,Not compared,NA
E06000006,Halton,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.2,Not compared,NA
E06000007,Warrington,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.2,Not compared,NA
E06000008,Blackburn with Darwen,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.6,Not compared,NA
E06000009,Blackpool,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,10.7,Not compared,NA
E06000010,Kingston upon Hull,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.7,Not compared,NA
E06000011,East Riding of Yorkshire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.6,Not compared,NA
E06000012,North East Lincolnshire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.9,Not compared,NA
E06000013,North Lincolnshire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.5,Not compared,NA
E06000014,York,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.1,Not compared,NA
E06000015,Derby,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.4,Not compared,NA
E06000016,Leicester,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.9,Not compared,NA
E06000017,Rutland,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.5,Not compared,NA
E06000018,Nottingham,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.8,Not compared,NA
E06000019,Herefordshire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6,Not compared,NA
E06000020,Telford and Wrekin,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9.6,Not compared,NA
E06000021,Stoke-on-Trent,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9,Not compared,NA
E06000022,Bath and North East Somerset,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.3,Not compared,NA
E06000023,Bristol,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7,Not compared,NA
E06000024,North Somerset,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.8,Not compared,NA
E06000025,South Gloucestershire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.9,Not compared,NA
E06000026,Plymouth,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,9.1,Not compared,NA
E06000027,Torbay,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.7,Not compared,NA
E06000028,Bournemouth,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.8,Not compared,NA
E06000029,Poole,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.4,Not compared,NA
E06000030,Swindon,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.8,Not compared,NA
E06000031,Peterborough,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.2,Not compared,NA
E06000032,Luton,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.4,Not compared,NA
E06000033,Southend-on-Sea,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.3,Not compared,NA
E06000034,Thurrock,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.4,Not compared,NA
E06000035,Medway,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.6,Not compared,NA
E06000036,Bracknell Forest,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,8.7,Not compared,NA
E06000037,West Berkshire,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.2,Not compared,NA
E06000038,Reading,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5,Not compared,NA
E06000039,Slough,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,4.4,Not compared,NA
E06000040,Windsor and Maidenhead,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,4.1,Not compared,NA
E06000041,Wokingham,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.8,Not compared,NA
E06000042,Milton Keynes,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,6.4,Not compared,NA
E06000043,Brighton and Hove,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7.8,Not compared,NA
E06000044,Portsmouth,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,5.7,Not compared,NA
E06000045,Southampton,UA,2013/14,Depression: Recorded prevalence (aged 18+),Percentage,Persons,7,Not compared,NA
