area_code,area_name,period,indicator,measure,unit,value
E10000015,Hertfordshire,2014/15,Children in relative low income families (under 16s),Percentage,Persons,9.2
E09000006,Bromley,2014/15,Children in relative low income families (under 16s),Percentage,Persons,9.7
E08000029,Solihull,2014/15,Children in relative low income families (under 16s),Percentage,Persons,10.6
E08000007,Stockport,2014/15,Children in relative low income families (under 16s),Percentage,Persons,12.4
E06000036,Bracknell Forest,2014/15,Children in relative low income families (under 16s),Percentage,Persons,7.2
E06000056,Central Bedfordshire,2014/15,Children in relative low income families (under 16s),Percentage,Persons,10.2
E06000014,York,2014/15,Children in relative low income families (under 16s),Percentage,Persons,10.6
E06000049,Cheshire East,2014/15,Children in relative low income families (under 16s),Percentage,Persons,10.4
E10000014,Hampshire,2014/15,Children in relative low income families (under 16s),Percentage,Persons,8.9
E06000060,Buckinghamshire,2014/15,Children in relative low income families (under 16s),Percentage,Persons,9.5
E08000009,Trafford,2014/15,Children in relative low income families (under 16s),Percentage,Persons,11.3
E92000001,England,2014/15,Children in relative low income families (under 16s),Percentage,Persons,15.3
E10000015,Hertfordshire,2015/16,Children in relative low income families (under 16s),Percentage,Persons,9.6
E09000006,Bromley,2015/16,Children in relative low income families (under 16s),Percentage,Persons,9.2
E08000029,Solihull,2015/16,Children in relative low income families (under 16s),Percentage,Persons,11.6
E08000007,Stockport,2015/16,Children in relative low income families (under 16s),Percentage,Persons,12.4
E06000036,Bracknell Forest,2015/16,Children in relative low income families (under 16s),Percentage,Persons,7.5
E06000056,Central Bedfordshire,2015/16,Children in relative low income families (under 16s),Percentage,Persons,10.6
E06000014,York,2015/16,Children in relative low income families (under 16s),Percentage,Persons,10.7
E06000049,Cheshire East,2015/16,Children in relative low income families (under 16s),Percentage,Persons,10.6
E10000014,Hampshire,2015/16,Children in relative low income families (under 16s),Percentage,Persons,9.4
E06000060,Buckinghamshire,2015/16,Children in relative low income families (under 16s),Percentage,Persons,10
E08000009,Trafford,2015/16,Children in relative low income families (under 16s),Percentage,Persons,11.5
